,game_date,play_id,play_type_nfl,yardline_100,game_id,possession_team,home_team,away_team,total_home_score,total_away_score,home_score,away_score,win_percentage,game_half,game_seconds_remaining,play_type,defense_win_percentage,punt_blocked,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,interception,punt_inside_twenty,kickoff_inside_twenty,kickoff_out_of_bounds,fumble_forced,fumble_not_forced,fumble_lost,fumble,safety,own_kickoff_recovery_td,qb_hit,sack,touchdown,pass_touchdown,rush_touchdown,return_touchdown,drive_ended_with_score
113674,2020-10-25,3082.0,PUNT,68.0,2020_07_GB_HOU,GB,HOU,GB,10.0,28.0,20,35,0.9817215,Half2,737.0,punt,0.01827848,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113820,2020-10-25,2276.0,PUNT,66.0,2020_07_JAX_LAC,LAC,LAC,JAX,16.0,20.0,39,29,0.6464087,Half2,1710.0,punt,0.35359132,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
115378,2020-11-01,504.0,PUNT,54.0,2020_08_IND_DET,IND,DET,IND,0.0,0.0,21,41,0.37618837,Half1,3089.0,punt,0.6238116,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118419,2020-11-08,2739.0,PUNT,67.0,2020_09_DET_MIN,MIN,MIN,DET,27.0,10.0,34,20,0.9678333,Half2,1089.0,punt,0.03216672,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118449,2020-11-08,3456.0,PUNT,58.0,2020_09_DET_MIN,MIN,MIN,DET,34.0,13.0,34,20,0.99909353,Half2,427.0,punt,0.00090646744,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121120,2020-11-12,2925.0,PUNT,74.0,2020_10_IND_TEN,TEN,TEN,IND,17.0,26.0,17,34,0.32095513,Half2,1017.0,punt,0.67904484,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
121350,2020-11-15,119.0,PUNT,79.0,2020_10_LAC_MIA,LAC,MIA,LAC,0.0,0.0,29,21,0.34368557,Half1,3486.0,punt,0.65631443,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124394,2020-11-22,241.0,PUNT,46.0,2020_11_NYJ_LAC,LAC,LAC,NYJ,0.0,0.0,34,28,0.48689947,Half1,3371.0,punt,0.5131005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130318,2020-12-06,1914.0,PUNT,89.0,2020_13_NYG_SEA,NYG,SEA,NYG,5.0,0.0,12,17,0.3193312,Half1,1833.0,punt,0.68066883,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
135418,2020-12-20,881.0,PUNT,62.0,2020_15_NYJ_LA,LA,LA,NYJ,0.0,7.0,20,23,0.2732724,Half1,2660.0,punt,0.7267276,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135589,2020-12-20,989.0,PUNT,58.0,2020_15_PHI_ARI,PHI,ARI,PHI,9.0,0.0,33,26,0.19246076,Half1,2854.0,punt,0.8075392,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147046,2021-09-12,3365.0,PUNT,77.0,2021_01_PIT_BUF,BUF,BUF,PIT,10.0,19.0,16,23,0.28164822,Half2,591.0,punt,0.7183518,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
152139,2021-09-26,1353.0,PUNT,50.0,2021_03_NO_NE,NE,NE,NO,0.0,7.0,13,28,0.33474445,Half1,2344.0,punt,0.66525555,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158539,2021-10-10,3858.0,PUNT,54.0,2021_05_PHI_CAR,CAR,CAR,PHI,18.0,13.0,18,21,0.82377654,Half2,240.0,punt,0.17622346,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159510,2021-10-17,1669.0,PUNT,65.0,2021_06_DAL_NE,NE,NE,DAL,14.0,10.0,29,35,0.72952676,Half1,2074.0,punt,0.27047324,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160986,2021-10-17,2998.0,PUNT,76.0,2021_06_MIN_CAR,MIN,CAR,MIN,16.0,12.0,28,34,0.5040783,Half2,1316.0,punt,0.49592167,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
169004,2021-11-14,1947.0,PUNT,83.0,2021_10_ATL_DAL,ATL,DAL,ATL,34.0,3.0,43,3,0.037631113,Half1,1844.0,punt,0.9623689,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
170026,2021-11-14,394.0,PUNT,76.0,2021_10_JAX_IND,JAX,IND,JAX,9.0,0.0,23,17,0.34083542,Half1,3212.0,punt,0.65916455,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
173647,2021-11-21,3206.0,PUNT,68.0,2021_11_PIT_LAC,LAC,LAC,PIT,27.0,13.0,41,37,0.9600965,Half2,760.0,punt,0.03990352,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174378,2021-11-28,407.0,PUNT,91.0,2021_12_CAR_MIA,CAR,MIA,CAR,6.0,0.0,33,10,0.38472018,Half1,3258.0,punt,0.6152798,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
183584,2021-12-18,771.0,PUNT,68.0,2021_15_NE_IND,NE,IND,NE,13.0,0.0,27,17,0.26285368,Half1,2721.0,punt,0.7371463,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
187291,2021-12-26,3019.0,PUNT,90.0,2021_16_WAS_DAL,WAS,DAL,WAS,48.0,7.0,56,14,0.00060947775,Half2,1272.0,punt,0.99939054,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
191916,2022-01-09,885.0,PUNT,55.0,2021_18_NYJ_BUF,NYJ,BUF,NYJ,10.0,0.0,27,10,0.19844325,Half1,2722.0,punt,0.80155677,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194702,2022-01-22,3101.0,PUNT,88.0,2021_20_SF_GB,GB,GB,SF,10.0,9.0,10,13,0.8164634,Half2,290.0,punt,0.18353659,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
